World,"1,946,386","22,538","121,704","2,086","460,111","1,364,571","51,058",250,15.6,,
USA,"587,815",874,"23,654",14,"37,315","526,846","12,772","1,776",71,"2,955,225","8,928"
Spain,"172,541","2,442","18,056",300,"67,504","86,981","7,371","3,690",386,"600,000","12,833"
Italy,"159,516",,"20,465",,"35,435","103,616","3,260","2,638",338,"1,046,910","17,315"
France,"136,779",,"14,967",,"27,718","94,094","6,821","2,095",229,"333,807","5,114"
Germany,"130,383",311,"3,215",21,"68,200","58,968","4,288","1,556",38,"1,317,887","15,730"
UK,"93,873","5,252","12,107",778,N/A,"81,422","1,559","1,383",178,"382,650","5,637"
China,"82,249",89,"3,341",,"77,738","1,170",116,57,2,,
Iran,"74,877","1,574","4,683",98,"48,129","22,065","3,691",891,56,"287,359","3,421"
Turkey,"61,049",,"1,296",,"3,957","55,796","1,786",724,15,"410,556","4,868"
Belgium,"31,119",530,"4,157",254,"6,868","20,094","1,223","2,685",359,"102,151","8,814"
Netherlands,"27,419",868,"2,945",122,250,"24,224","1,358","1,600",172,"134,972","7,877"
Switzerland,"25,807",119,"1,155",17,"13,700","10,952",386,"2,982",133,"199,000","22,993"
Canada,"25,680",,780,,"7,756","17,144",557,680,21,"437,475","11,591"
